Name,Set Number,Price (2),Change ($),Change (%),imageUrl,tcgplayerUrl,Period,Edition
Number 90: Galaxy-Eyes Photon Lord,BLRR-EN033,$56.42,$10.79,19.12442396313364%,https://tcgplayer-cdn.tcgplayer.com/product/169415_200w.jpg,https://www.tcgplayer.com/product/169415/yugioh-battles-of-legend-relentless-revenge-number-90-galaxy-eyes-photon-lord,7,1st Edition
Infernoid Onuncu (UTR),SECE-EN019,$19.925,$7.75,38.89585947302384%,https://tcgplayer-cdn.tcgplayer.com/product/95481_200w.jpg,https://www.tcgplayer.com/product/95481/yugioh-secrets-of-eternity-infernoid-onuncu-utr,7,1st Edition
Pot of Prosperity,BLVO-EN065,$45.49,$6.07,13.343591998241372%,https://tcgplayer-cdn.tcgplayer.com/product/231378_200w.jpg,https://www.tcgplayer.com/product/231378/yugioh-blazing-vortex-pot-of-prosperity,7,1st Edition
Infernoid Tierra (UTR),CORE-EN049,$16.745,$5.49,32.78590624066885%,https://tcgplayer-cdn.tcgplayer.com/product/102464_200w.jpg,https://www.tcgplayer.com/product/102464/yugioh-clash-of-rebellions-infernoid-tierra-utr,7,1st Edition
Abomination's Prison,MP20-EN182,$29.73,$4.66,15.674402959973092%,https://tcgplayer-cdn.tcgplayer.com/product/220942_200w.jpg,https://www.tcgplayer.com/product/220942/yugioh-2020-tin-of-lost-memories-abominations-prison,7,1st Edition
Fantastical Dragon Phantazmay,SAST-EN020,$23.1,$4.3,18.614718614718605%,https://tcgplayer-cdn.tcgplayer.com/product/184126_200w.jpg,https://www.tcgplayer.com/product/184126/yugioh-savage-strike-fantastical-dragon-phantazmay,7,1st Edition
Void Vanishment,CROS-EN061,$8.86,$4.08,46.04966139954853%,https://tcgplayer-cdn.tcgplayer.com/product/98463_200w.jpg,https://www.tcgplayer.com/product/98463/yugioh-crossed-souls-void-vanishment,7,1st Edition
Void Imagination,CORE-EN063,$10.19,$4.005,39.30323846908734%,https://tcgplayer-cdn.tcgplayer.com/product/102482_200w.jpg,https://www.tcgplayer.com/product/102482/yugioh-clash-of-rebellions-void-imagination,7,1st Edition
Majespecter Cyclone,DOCS-EN060,$8.64,$3.82,44.21296296296297%,https://tcgplayer-cdn.tcgplayer.com/product/107697_200w.jpg,https://www.tcgplayer.com/product/107697/yugioh-dimension-of-chaos-majespecter-cyclone,7,1st Edition
Drytron Nova,GEIM-EN033,$13.54,$3.81,28.13884785819793%,https://tcgplayer-cdn.tcgplayer.com/product/228668_200w.jpg,https://www.tcgplayer.com/product/228668/yugioh-genesis-impact-drytron-nova,7,1st Edition
The Winged Dragon of Ra,BP02-EN126,$11.32,$3.795,33.524734982332156%,https://tcgplayer-cdn.tcgplayer.com/product/69576_200w.jpg,https://www.tcgplayer.com/product/69576/yugioh-battle-pack-2-war-of-the-giants-the-winged-dragon-of-ra-mosaic-rare,7,1st Edition
Floowandereeze & Empen,BODE-EN017,$6.96,$3.46,49.71264367816092%,https://tcgplayer-cdn.tcgplayer.com/product/252551_200w.jpg,https://www.tcgplayer.com/product/252551/yugioh-burst-of-destiny-floowandereeze-and-empen,7,1st Edition
White Aura Whale,BLLR-EN020,$9.76,$3.13,32.06967213114754%,https://tcgplayer-cdn.tcgplayer.com/product/136809_200w.jpg,https://www.tcgplayer.com/product/136809/yugioh-battles-of-legend-lights-revenge-white-aura-whale,7,1st Edition
Dark Magician (Oversized),YUCB-EN001,$10.79,$3.01,27.89620018535681%,https://tcgplayer-cdn.tcgplayer.com/product/146151_200w.jpg,https://www.tcgplayer.com/product/146151/yugioh-collectors-boxes-dark-magician-oversized,7,Limited
Diviner of the Herald,LIOV-EN000,$14.72,$2.98,20.244565217391305%,https://tcgplayer-cdn.tcgplayer.com/product/239453_200w.jpg,https://www.tcgplayer.com/product/239453/yugioh-lightning-overdrive-diviner-of-the-herald,7,1st Edition
"Gizmek Uka, the Festive Fox of Fecundity",ETCO-EN031,$3.75,$2.52,67.2%,https://tcgplayer-cdn.tcgplayer.com/product/213339_200w.jpg,https://www.tcgplayer.com/product/213339/yugioh-eternity-code-gizmek-uka-the-festive-fox-of-fecundity,7,1st Edition
Sunavalon Dryas,GFTP-EN018,$7.33,$2.26,30.832196452933154%,https://tcgplayer-cdn.tcgplayer.com/product/235729_200w.jpg,https://www.tcgplayer.com/product/235729/yugioh-ghosts-from-the-past-sunavalon-dryas,7,1st Edition
Tour Guide From the Underworld,DUSA-EN091,$12.84,$2.04,15.887850467289718%,https://tcgplayer-cdn.tcgplayer.com/product/129665_200w.jpg,https://www.tcgplayer.com/product/129665/yugioh-duelist-saga-tour-guide-from-the-underworld,7,1st Edition
"Saffira, Queen of Dragons (UTR)",DUEA-EN050,$13.265,$2.005,15.114964191481342%,https://tcgplayer-cdn.tcgplayer.com/product/92380_200w.jpg,https://www.tcgplayer.com/product/92380/yugioh-duelist-alliance-saffira-queen-of-dragons-utr,7,1st Edition
Infernoid Pirmais,CROS-EN030,$4.18,$1.89,45.215311004784695%,https://tcgplayer-cdn.tcgplayer.com/product/98429_200w.jpg,https://www.tcgplayer.com/product/98429/yugioh-crossed-souls-infernoid-pirmais,7,1st Edition
Majesty's Pegasus,DOCS-EN058,$5.585,$1.865,33.39301700984781%,https://tcgplayer-cdn.tcgplayer.com/product/107695_200w.jpg,https://www.tcgplayer.com/product/107695/yugioh-dimension-of-chaos-majestys-pegasus,7,1st Edition
"Beat, Bladesman Fur Hire",MP19-EN247,$5.76,$1.7,29.51388888888889%,https://tcgplayer-cdn.tcgplayer.com/product/197539_200w.jpg,https://www.tcgplayer.com/product/197539/yugioh-2019-gold-sarcophagus-tin-mega-pack-beat-bladesman-fur-hire,7,1st Edition
Red-Eyes Insight,INOV-EN060,$6.145,$1.505,24.491456468673718%,https://tcgplayer-cdn.tcgplayer.com/product/124762_200w.jpg,https://www.tcgplayer.com/product/124762/yugioh-invasion-vengeance-red-eyes-insight,7,1st Edition
